word	score
absolutely	0.3
amazingly	0.3
awfully	0.3
completely	0.3
considerable	0.3
considerably	0.3
decidedly	0.3
deeply	0.3
effing	0.3
enormous	0.3
enormously	0.3
entirely	0.3
especially	0.3
exceptional	0.3
exceptionally	0.3
extreme	0.3
extremely	0.3
fabulously	0.3
flipping	0.3
flippin	0.3
frackin	0.3
fracking	0.3
fricking	0.3
frickin	0.3
frigging	0.3
friggin	0.3
fully	0.3
fuckin	0.3
fucking	0.3
fuggin	0.3
fugging	0.3
greatly	0.3
hella	0.3
highly	0.3
hugely	0.3
incredible	0.3
incredibly	0.3
intensely	0.3
major	0.3
majorly	0.3
more	0.3
most	0.3
particularly	0.3
purely	0.3
quite	0.3
really	0.3
remarkably	0.3
so	0.3
substantially	0.3
thoroughly	0.3
total	0.3
totally	0.3
tremendous	0.3
tremendously	0.3
uber	0.3
unbelievably	0.3
unusually	0.3
utter	0.3
utterly	0.3
very	0.3
